/Vout X,/Vout YRe,/Vout YReImag
1,-22.48734242568148,2.612400842427953e-06
1.023292992280754,-22.48734242568053,2.673251474500542e-06
1.047128548050899,-22.48734242567955,2.735519499834487e-06
1.071519305237606,-22.4873424256785,2.799237933757093e-06
1.096478196143185,-22.48734242567742,2.86444056062122e-06
1.122018454301963,-22.48734242567628,2.931161951718165e-06
1.148153621496882,-22.48734242567509,2.999437483607801e-06
1.174897554939529,-22.48734242567384,3.069303356875677e-06
1.202264434617413,-22.48734242567253,3.140796615327018e-06
1.230268770812381,-22.48734242567117,3.213955165627816e-06
1.258925411794167,-22.48734242566973,3.288817797403419e-06
1.288249551693134,-22.48734242566823,3.365424203805271e-06
1.318256738556407,-22.48734242566666,3.443815002556715e-06
1.348962882591653,-22.48734242566502,3.524031757489014e-06
1.380384264602885,-22.4873424256633,3.606117000579002e-06
1.412537544622754,-22.4873424256615,3.690114254500067e-06
1.445439770745927,-22.48734242565961,3.776068055698398e-06
1.479108388168207,-22.48734242565763,3.864023978006763e-06
1.513561248436208,-22.48734242565556,3.954028656808302e-06
1.548816618912481,-22.4873424256534,4.046129813763165e-06
1.584893192461113,-22.48734242565112,4.140376282111127e-06
1.621810097358929,-22.48734242564875,4.236818032563539e-06
1.65958690743756,-22.48734242564626,4.335506199798413e-06
1.698243652461743,-22.48734242564366,4.436493109572622e-06
1.737800828749374,-22.48734242564093,4.539832306465641e-06
1.778279410038922,-22.48734242563807,4.64557858226951e-06
1.819700858609982,-22.48734242563508,4.753788005040083e-06
1.862087136662866,-22.48734242563194,4.864517948824949e-06
1.905460717963246,-22.48734242562866,4.977827124083836e-06
1.949844599758044,-22.48734242562522,5.093775608817549e-06
1.995262314968878,-22.48734242562163,5.212424880422013e-06
2.041737944669527,-22.48734242561786,5.33383784828428e-06
2.089296130854037,-22.48734242561391,5.458078887137801e-06
2.13796208950223,-22.48734242560979,5.585213871194599e-06
2.18776162394955,-22.48734242560547,5.715310209072516e-06
2.238721138568337,-22.48734242560094,5.848436879535992e-06
